INFO 2026-02-16 19:39:30,225 log 12464 9588 "GET /admin/security/loginhistory/add/ HTTP/1.1" 200 28798
INFO 2026-02-16 19:39:30,257 log 12464 9588 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:30,272 log 12464 17364 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:30,272 log 12464 8448 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:30,272 log 12464 18736 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:30,272 log 12464 14028 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-02-16 19:39:30,286 log 12464 14028 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-02-16 19:39:30,344 log 12464 9588 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:39:30,405 log 12464 14028 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2026-02-16 19:39:30,405 log 12464 9588 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-02-16 19:39:38,484 log 12464 14028 "GET /admin/security/loginhistory/ HTTP/1.1" 200 17380
INFO 2026-02-16 19:40:03,611 log 12464 14028 "GET /admin/security/ HTTP/1.1" 200 7482
INFO 2026-02-16 19:40:06,275 log 12464 14028 "GET /admin/security/loginhistory/ HTTP/1.1" 200 17380
WARNING 2026-02-16 19:40:08,653 log 12464 14028 Not Found: /
WARNING 2026-02-16 19:40:08,654 log 12464 14028 "GET / HTTP/1.1" 404 2302
INFO 2026-02-16 19:40:10,947 log 12464 14028 "GET /admin/security/loginhistory/ HTTP/1.1" 200 17380
INFO 2026-02-16 19:48:58,950 log 12464 17348 "GET /admin/account/user/ HTTP/1.1" 200 18658
INFO 2026-02-16 19:48:59,148 log 12464 17348 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:49:01,040 log 12464 17348 "GET /admin/account/user/add/ HTTP/1.1" 200 44035
INFO 2026-02-16 19:49:01,133 log 12464 17348 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:49:32,202 log 12464 17348 "GET /admin/account/user/ HTTP/1.1" 200 18658
INFO 2026-02-16 19:49:34,212 log 12464 17348 "GET /admin/account/user/d522253c-09f3-403e-af24-f95ac4636865/change/ HTTP/1.1" 200 44581
INFO 2026-02-16 19:49:34,317 log 12464 17348 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:49:54,576 log 12464 17348 "POST /admin/logout/ HTTP/1.1" 200 3479
INFO 2026-02-16 19:49:56,911 log 12464 17348 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-16 19:49:56,963 log 12464 17348 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4081
INFO 2026-02-16 19:49:56,986 log 12464 17348 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2026-02-16 19:50:04,892 log 12464 17348 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-02-16 19:50:05,083 log 12464 17348 "GET /admin/ HTTP/1.1" 200 19066
INFO 2026-02-16 19:50:09,904 log 12464 17348 "GET /admin/account/user/ HTTP/1.1" 200 18658
INFO 2026-02-16 19:50:10,101 log 12464 17348 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-16 19:50:11,700 log 12464 17348 "GET /admin/account/user/d522253c-09f3-403e-af24-f95ac4636865/change/ HTTP/1.1" 200 44581
INFO 2026-02-16 19:50:11,789 log 12464 17348 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-03-01 19:46:39,941 autoreload 1676 15024 Watching for file changes with StatReloader
INFO 2026-03-01 19:48:11,758 autoreload 1676 15024 E:\chatting_app\chat\account\views.py changed, reloading.
INFO 2026-03-01 19:48:13,804 autoreload 8488 8696 Watching for file changes with StatReloader
INFO 2026-03-01 19:48:30,209 autoreload 8488 8696 E:\chatting_app\chat\chat\urls.py changed, reloading.
INFO 2026-03-01 19:48:32,687 autoreload 6400 6056 Watching for file changes with StatReloader
ERROR 2026-03-01 19:48:47,351 log 6400 14432 Internal Server Error: /register
Traceback (most recent call last):
  File "E:\chatting_app\env\Lib\site-packages\django\utils\module_loading.py", line 30, in import_string
    return cached_import(module_path, class_name)
  File "E:\chatting_app\env\Lib\site-packages\django\utils\module_loading.py", line 16, in cached_import
    return getattr(module, class_name)
AttributeError: module 'redis.connection' has no attribute 'HiredisParser'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "E:\chatting_app\env\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "E:\chatting_app\env\Lib\site-packages\django\core\handlers\base.py", line 198, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "E:\chatting_app\env\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "E:\chatting_app\env\Lib\site-packages\django\views\generic\base.py", line 106, in view
    return self.dispatch(request, *args, **kwargs)
